stock_code,company_name,year,inv_rate_win,cfcr_final_win,roa_win,size,sales_growth_win,inv_rate,cfcr_final,roa,sales_growth,capex,total_assets,total_assets_prev,ocf,interest_final
001820,삼화콘덴서,2015,0.035124203921670066,23.26021056476301,0.025300168121029826,25.450169143788557,,0.035124203921670066,23.26021056476301,0.025300168121029826,,3823068123.0,112945263420.0,108844263959.0,13753663626.0,617858649.0
001820,삼화콘덴서,2016,0.03030701876599333,32.460383438032835,0.046629726059173225,25.52472848215823,0.08588129230412762,0.03030701876599333,32.460383438032835,0.046629726059173225,0.08588129230412762,3423034218.0,121688274188.0,112945263420.0,12708573403.0,403954816.0
001820,삼화콘덴서,2017,0.0875532822541306,25.86360337431581,0.11290823360063267,25.64845599794337,0.1557776304264196,0.0875532822541306,25.86360337431581,0.11290823360063267,0.1557776304264196,10654207817.0,137715527275.0,121688274188.0,20710309716.0,832956889.0
001820,삼화콘덴서,2018,0.20086310445417419,18.583324414514244,0.23125430343833914,26.117107397418845,0.3769284392826536,0.20086310445417419,18.583324414514244,0.28142854164556297,0.3769284392826536,27661968340.0,220047088145.0,137715527275.0,60908393966.0,3463986248.0
001820,삼화콘덴서,2019,0.1828042322082144,7.997798945893018,0.1388025361509594,26.093129626703302,-0.07253594625050352,0.1828042322082144,7.997798945893018,0.1388025361509594,-0.07253594625050352,40225538998.0,214833603174.0,220047088145.0,26061922292.0,3724302812.0
001820,삼화콘덴서,2020,0.03182859857106164,6.342137920173401,0.09985085235847269,26.182716257799925,-0.047236109891727364,0.03182859857106164,6.342137920173401,0.09985085235847269,-0.047236109891727364,6837852515.0,234968255221.0,214833603174.0,32120191346.0,6012609900.0
001820,삼화콘덴서,2021,0.08294620824276407,14.404813007087336,0.10627235726557539,26.319086858069802,0.08100590871042104,0.08294620824276407,14.404813007087336,0.10627235726557539,0.08100590871042104,19489725828.0,269298659241.0,234968255221.0,35530787370.0,2650599255.0
001820,삼화콘덴서,2022,0.09000794905669428,8.450745322137783,0.10205855751198822,26.384328102115205,0.0049963678275698285,0.09000794905669428,8.450745322137783,0.10205855751198822,0.0049963678275698285,24239020002.0,287453832625.0,269298659241.0,48495991156.0,6508877845.0
001820,삼화콘덴서,2023,0.08798039006142822,7.117105401741274,0.06793380691601714,26.453466475278717,0.06566012135147212,0.08798039006142822,7.117105401741274,0.06793380691601714,0.06566012135147212,25290300319.0,308031065017.0,287453832625.0,34346343902.0,5614803350.0
001820,삼화콘덴서,2024,0.03558988232694963,9.79040496946793,0.06716870970133192,26.516627702264387,0.05215560591846917,0.03558988232694963,9.79040496946793,0.06716870970133192,0.05215560591846917,10962789357.0,328114248167.0,308031065017.0,39262657051.0,4466535636.0
