stock_code,company_name,year,total_assets,total_assets_prev,capex,ocf,interest_paid,interest_expense,sales,net_income,cfcr,inv_rate,roa,size
145020,휴젤,2024,939439325841.0,929250642001.0,12354091263.0,149050888807.0,546847319.0,4743486367.0,373046885998.0,143134582847.0,273.5639929616259,0.01329468143965695,0.15236171076707247,27.568549072385036
141080,리가켐바이오,2024,738382908190.0,189502178859.0,2627734836.0,78476380652.0,547241890.0,5093949077.0,125898140997.0,7800099578.0,144.40346030893213,0.01386651515999285,0.010563759658414095,27.327728372778857
036570,엔씨소프트,2024,3953941191414.0,4393800423903.0,84187207659.0,107041218268.0,9696729475.0,10271159748.0,1578123132867.0,,12.038899099327509,0.019160453260691514,,29.0057339673782
138930,BNK금융지주,2024,152470490926534.0,145783633894264.0,82945547444.0,,,3971742972171.0,,749976302023.0,,0.0005689633687150364,0.004918829194197103,32.65799219113097
214150,클래시스,2024,608378808831.0,375443021754.0,4074794425.0,,1916179871.0,2040647069.0,,97875278357.0,,0.01085329647615587,0.16087884215603657,27.134063565743674
175330,JB금융지주,2024,66721914000000.0,63403970000000.0,74755000000.0,,1623906000000.0,1659809000000.0,,692991000000.0,,0.0011790271177025665,0.010386257804295003,31.831554560617935
302440,SK바이오사이언스,2024,2843596036892.0,1852439180084.0,164413439522.0,-128019868867.0,,21698600960.0,267545049154.0,3764128444.0,-4.89991350608256,0.08875510801630991,0.0013237212301484727,28.67609057730686
454910,두산로보틱스,2024,421690971946.0,456422079722.0,3298734340.0,-43770453661.0,,700650849.0,46829943837.0,,-61.47113483623282,0.007227376778111197,,26.7675385887574
097950,CJ제일제당,2024,30149997467000.0,29606279551000.0,1000900488000.0,2255253477000.0,543233230000.0,1233744974000.0,29359081823000.0,361835555000.0,5.151538146883982,0.03380703361514375,0.012001180278573454,31.03720595508847
004020,현대제철,2024,34743788025637.0,35218841930044.0,1672318495047.0,1777143870407.0,435362482516.0,664452046561.0,23226141091217.0,,5.081986716302979,0.04748363101685072,,31.179021910107373
036460,한국가스공사,2024,57669637000000.0,57254666000000.0,1666148000000.0,3629763000000.0,1514457000000.0,3441017000000.0,38388740000000.0,1148985000000.0,3.396742198689035,0.029100650067542092,0.01992356913916417,31.68575192910221
011790,SKC,2024,6748678536179.0,7032322131682.0,667540827204.0,-199714849316.0,173573777497.0,356058003012.0,1721564345604.0,,-0.15060496001161128,0.09492466566578296,,29.54036782922914
035250,강원랜드,2024,4700641154570.0,4448655838228.0,107494733192.0,487048778217.0,2210289617.0,2765884797.0,1426862781802.0,456895295638.0,221.35518534356848,0.024163418592259,0.09719850561104901,29.17872003120672
128940,한미약품,2024,2020840493653.0,1898668375968.0,39261057103.0,193486724954.0,24746861219.0,24373772620.0,1495501575568.0,140431062099.0,8.818637007809535,0.02067820668418912,0.06949141336986368,28.334534626768733
052690,한전기술,2024,946846882988.0,855008772803.0,4556748314.0,48950324037.0,78875964.0,78874785.0,,58512128400.0,621.5987420578467,0.005329475508258798,0.0617968221169521,27.57640323066913
011070,LG이노텍,2024,11378212000000.0,11204306000000.0,879043000000.0,1110059000000.0,121995000000.0,212751000000.0,21200755000000.0,,10.09921718103201,0.07845581868256722,,30.062721414532007
000250,삼천당제약,2024,519772210839.0,408021822012.0,17022405665.0,21770705374.0,,616330909.0,210923804522.0,5838058139.0,36.32307897606998,0.041719351139261784,0.01123195510890509,26.976656496468443
007660,이수페타시스,2024,790136366426.0,626436318507.0,59946716962.0,84900910242.0,,46092399872.0,836866961285.0,74034111779.0,2.8419720057487226,0.0956948299307939,0.09369789181312621,27.39547138324021
257720,실리콘투,2024,457759144111.0,215270561079.0,75760088555.0,60126008213.0,5839602977.0,5563043597.0,691522368911.0,120738196347.0,11.296249325478758,0.3519296283489388,0.2637592233825977,26.849608996513414
022100,포스코DX,2024,892453016139.0,889807220460.0,12693470204.0,97799461517.0,,2333192381.0,1473290670631.0,88599060003.0,42.91658703903508,0.014265416049824712,0.09927588164394825,27.517239706233003
103140,풍산,2024,4096582596724.0,3660628679317.0,195943580558.0,,37072554898.0,37444591434.0,4554411454633.0,236045982790.0,,0.05352730301904293,0.05762021812492291,29.041174229079562
041510,에스엠,2024,1419108143782.0,1540973937398.0,24188234750.0,,4143254302.0,8560651695.0,989725343114.0,18310151475.0,,0.01569671891456053,0.012902576562066972,27.981049722465386
298380,에이비엘바이오,2024,231975702513.0,160144371976.0,,-69402667056.0,165072876.0,1902570828.0,33403030159.0,-55529347885.0,-419.4365292333066,,-0.23937570738421673,26.16989847258068
017800,현대엘리베이터,2024,3573751146561.0,3535433379184.0,59342184605.0,256446417749.0,42410813338.0,76759986730.0,2885296849309.0,,7.046722464509412,0.016784981709568107,,28.904636901411422
383220,F&F,2024,2285904738684.0,2005097998970.0,434640658577.0,398841092866.0,11662228577.0,29694389342.0,1896009590086.0,,35.19938909897427,0.216767788307739,,28.457783008816083
192820,코스맥스,2024,1933713489313.0,1557077274819.0,164916321050.0,72966186220.0,,67845725268.0,2166089636742.0,88417411666.0,2.0754721234355364,0.10591402476744158,0.04572415311505765,28.29046335788647
026960,동서,2024,1779146551075.0,1694019807604.0,1217414270.0,113240689853.0,,258636931.0,488860392545.0,159046264652.0,438.8365046908169,0.0007186540939694768,0.08939469576348318,28.207154899563914
001440,대한전선,2024,2642726208000.0,1878565100000.0,,6751598000.0,,80324153000.0,,74190402000.0,1.084054393950472,,0.02807343483990605,28.602832154811303
008930,한미사이언스,2024,1349078932369.0,1226170046397.0,,82986394448.0,9279753222.0,11345919559.0,1283432295647.0,59421641043.0,9.942737211077961,,0.04404608182462299,27.93044320320595
004990,롯데지주,2024,22660277693897.0,23160430746458.0,1308029853503.0,1052917063415.0,385395100141.0,671456583060.0,,72728075764.0,3.7320457967155822,0.05647692255045996,0.0032094962271176208,30.751634626259012
011780,금호석유화학,2024,8340238952259.0,7979694633685.0,436189485536.0,322334793729.0,41871717672.0,69556345344.0,7155003786012.0,348621508633.0,8.698150724410052,0.05466242827071303,0.04179994249907839,29.75211298323876
489790,한화비전,2024,1591146181854.0,0.0,24880834715.0,56847904527.0,4626247172.0,23093184711.0,,10595898861.0,13.288125215415965,inf,0.00665928685989975,28.09547574154993
111770,영원무역,2024,5389722907461.0,5297123640656.0,116824849924.0,623729052618.0,31546863292.0,31546863292.0,3517837283293.0,427050356020.0,20.771507767498775,0.022054393638720565,0.07923419503233342,29.315515090893662
263750,펄어비스,2024,1142821061456.0,1212879314617.0,3041021122.0,-5388079092.0,10796797181.0,6898177752.0,342384719856.0,60343569967.0,0.5009557925676478,0.0025072742896602917,0.05280229075417972,27.76452093682869
011170,롯데케미칼,2024,34552330375053.0,33476310224541.0,2238079630804.0,1542393674686.0,448938494556.0,801963875397.0,,,4.4356458476821565,0.06685562464298399,,31.173496113217926
012750,에스원,2024,2322698505650.0,2179505358177.0,155690345792.0,376613925478.0,977794829.0,1661336412.0,2804739466536.0,176732400410.0,386.1666160509016,0.07143379813584116,0.07608925565676979,28.473750774660143
002380,KCC,2024,13108550142754.0,13353471078397.0,257719840837.0,596801288316.0,299722383995.0,347806538134.0,6658762417820.0,310568028257.0,2.991180239397655,0.01929983892007932,0.02369201970277944,30.204285815883942
088350,한화생명,2024,160146430758072.0,147901842899949.0,205573258635.0,,500756954418.0,0.0,,866000982115.0,,0.0013899303389617933,0.005407557183857813,32.70710970486725
139480,이마트,2024,33930639265588.0,33443865586475.0,650720594766.0,1459819142428.0,489542972397.0,742165181058.0,29020896860848.0,16589331137.0,3.9820040828696532,0.019457098734099603,0.0004889189091649292,31.155339535265977
042670,HD현대인프라코어,2024,4287197767266.0,4418425813336.0,131730728666.0,443279214196.0,,159988442147.0,4114189991329.0,108415737392.0,3.7706952342764097,0.029813950540575142,0.025288251971902403,29.08665443433619
051600,한전KPS,2024,1690214811558.0,1597333550834.0,49568617741.0,540465814512.0,522227299.0,1682192116.0,1557085808533.0,172441205945.0,1035.9244774199367,0.03103210203975195,0.10202324862249182,28.155876744216833
018670,SK가스,2024,7539621970135.0,6081811411173.0,351111447286.0,373331313851.0,74971081884.0,454080365517.0,7095902060317.0,178835586560.0,5.979670887351497,0.057731393420218054,0.023719436765978583,29.65119316010466
035900,JYP Ent.,2024,678782059891.0,571533446142.0,87316520219.0,89293013736.0,,201928160.0,601787883332.0,97758616779.0,443.201888711312,0.15277587131323514,0.14402062540471128,27.24356594080431
