종목코드,종목명,종가,대비,등락률,상장시가총액
"078890","가온그룹","3270","-80","-2.39","59013.0"
"079000","와토스코리아","5110","-20","-0.39","36792.0"
"079170","한창산업","8050","-100","-1.23","41860.0"
"079190","케스피온","510","4","0.79","19561.0"
"079650","서산","1556","-10","-0.64","31120.0"
"079810","디이엔티","6330","60","0.96","139438.0"
"079950","인베니아","620","-6","-0.96","14384.0"
"080010","이상네트웍스","5880","60","1.03","57830.0"
"080470","성창오토텍","4140","-200","-4.61","30222.0"
"080520","오디텍","3200","30","0.95","37589.0"
"080530","코디","1609","-10","-0.62","73905.0"
"080580","오킨스전자","6070","-310","-4.86","108867.0"
"081150","티플랙스","3325","85","2.62","80692.0"
"081580","성우전자","3165","15","0.48","49083.0"
"082850","우리바이오","2360","-35","-1.46","114358.0"
"083470","이엠앤아이","870","-1","-0.11","18566.0"
"083500","에프엔에스테크","12140","590","5.11","104109.0"
"083550","케이엠","3060","-10","-0.33","39630.0"
"083640","인콘","324","1","0.31","25181.0"
"083790","CG인바이츠","1785","-24","-1.33","137256.0"
"084180","수성웹툰","4965","-55","-1.10","89739.0"
"084440","유비온","1195","-22","-1.81","23557.0"
"084730","팅크웨어","8930","-60","-0.67","99207.0"
"084990","헬릭스미스","3020","-15","-0.49","139200.0"
"085670","뉴프렉스","4280","-10","-0.23","104649.0"
"085810","알티캐스트","715","72","11.20","35647.0"
"085910","네오티스","3280","-15","-0.46","45706.0"
"086040","바이오톡스텍","2985","-20","-0.67","47635.0"
"086060","진바이오텍","4355","0","0.00","37499.0"
"086670","비엠티","9560","-120","-1.24","87237.0"
"086960","MDS테크","1344","-12","-0.88","124752.0"
"087260","모바일어플라이언스","1986","-10","-0.50","64650.0"
"087600","픽셀플러스","7160","10","0.14","58473.0"
"088130","동아엘텍","2925","-20","-0.68","51145.0"
"088280","쏘닉스","2460","-10","-0.40","42574.0"
"088290","이원컴포텍","1149","-10","-0.86","45823.0"
"088340","유라클","20000","-800","-3.85","87161.0"
"088390","이녹스","7440","-50","-0.67","69831.0"
"088910","동우팜투테이블","2130","-5","-0.23","55022.0"
"089140","넥스턴바이오","2760","5","0.18","35430.0"
